hash1, hash2, hash3, hash4, hash5, hash6, 
0, 0, 0, 0, 0, 1, 
30538, 0, 39, 0, 0, 0, 
0, 0, 169, 0, 0, 3, 
0, 0, 860, 0, 0, 6, 
0, 0, 2590, 0, 0, 2, 
0, 0, 3912, 0, 0, 1, 
0, 0, 5234, 0, 0, 1, 
0, 0, 5557, 0, 0, 3, 
0, 0, 4707, 0, 1, 3, 
0, 0, 3363, 0, 0, 4, 
0, 0, 2100, 0, 0, 3, 
0, 0, 1179, 0, 0, 1, 
0, 0, 521, 0, 0, 1, 
0, 0, 219, 0, 0, 3, 
0, 0, 52, 0, 0, 4, 
0, 0, 33, 0, 0, 2, 
0, 0, 3, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 7, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 54, 4, 
0, 573, 0, 1, 32, 3, 
0, 545, 0, 1, 52, 2, 
